class,text
Positive,Such a pretty pink feminine blouse. love the sleeves! great quality and true to size.
Positive,I absolutely love this top! cute and feminine without being over the top. i basically love everything meadow rue puts out there...and this was no exception.
Positive,"Cute shirt with a few nice details: embroidery and tasseled tie in back. a little pricey in my view for what you get. nice, loose cut. true to size. cotton is very sheer. i'm well-stocked on white see-through shirts that require a cami, looking for one that doesn't need layering- returned for this reason."
Negative,"I think this top would have been amazing if it was in a jersey or cotton club but the gauzey fabric is so wrinkly and so sheer i don't know how i would use this top. i don't mind most of the slightly sheer retailer tops (if people see my bra slightly so be it) but this is really sheer, unless you are madonna you are going to want to wear something under this, and in my mind, that defeats the purpose of a lightweight, sleeveless top. i returned it and was sorry to have to do that."
Positive,"Runs a bit small, but this top is super soft like all the cloth and stone tops. great for all seasons!!"
Positive,I saw this shirt and new that i had to have it. i love the tassel on the back at the tie. the fabric is not too sheer. the fit is loose and will be cool this summer.
Positive,Love this top!!!! it is just gorgeous and fits great!
Positive,
Negative,"Two strikes against this top, and its going back. first, the white top is a light weight cotton... and it does not come with a lining or shell underneath. just know you will need one. i would have been able to get over that fact, since i have tanks i could have worn, but second strike is that it wrinkles. alot. it came out of the shipping box with the type of wrinkles that i know will get way worse after washing. i am not interested in ironing anything. for this price, i wouldn't have expected b"
Negative,"I tried this shirt in a small (my usual retailer size) and it was very unflattering.   the fabric was ultra soft and it seemed it was nicely made.  however, this shirt is so unstructured and oversized, i might as well worn a brown paper bag."
Positive,I cant say enough about this top. the material is soft and comfy . very well made. the length and  size is spot on! looks great tucked in or out! very versatile. highly recommend!!
Positive,
Positive,"I liked this blouse very much the minute i first seen it, it looks exactly as pictured but sits much better in person. i'm 6ft tall 160lb ordered a 10 which was true to size with a little more room to the bottom. i was able to see my belly button through the sheer part of the bottom fabric, but as soon as i sucked my belly in, it was fine. the quality of the fabric is so-so i had some threads hanging out here and there, but this top looks very good in person and the design is unique, you can hav"
Positive,"This top is great to wear under a blazer when cool or alone on a warm day. i rated it as runs small only because if you are a little busty as i am, it is a little snug across the chest. otherwise fits great."
Positive,"I tried this in the store after looking at it online. the material was soft and flexible which was nice - i had been concerned that it might be stiff. however, it was a bit difficult to get on and off with the zipper on the back and the high neckline. overall, as a petite person, i felt the spots were too overwhelming for me. but if you like the spots, and have no trouble with back zippers, go for it."
